CO_ANO;CO_MES;SH4;CO_PAIS;SG_UF_MUN;CO_MUN;KG_LIQUIDO;VL_FOB
2004;8;2204;249;SP;3448500;14922;19876
2004;4;2204;791;RS;4313409;620;2297
2004;5;2204;586;MS;5206606;79783;36439
2004;8;2204;845;RS;4315305;10;10
2004;5;2204;586;PR;4108304;319800;109430
2004;11;2204;741;RJ;3304557;31;369
2004;10;2204;249;RS;4308607;698;3690
2004;2;2204;586;PR;4108304;216600;63140
2004;10;2204;573;PE;2608750;17688;29556
2004;11;2204;63;RJ;3304201;80170;72474
2004;4;2204;586;SP;3425904;634;412
2004;12;2204;97;AC;1200104;28075;13275
2004;7;2204;845;RS;4315305;8;8
2004;3;2204;399;RS;4302105;94659;34077
2004;4;2204;23;RS;4302105;1453;4578
2004;12;2204;249;RS;4308607;555;2700
2004;1;2204;40;RJ;3304557;480;75
2004;3;2204;586;MS;5206606;59899;19872
2004;3;2204;169;RS;4308607;16292;23975
2004;5;2204;399;SP;3450308;25890;11496
2004;6;2204;399;SP;3450308;25850;10805
2004;12;2204;249;RS;4302105;8261;30985
2004;12;2204;800;SP;3425904;1300;1042
2004;6;2204;791;RS;4313409;2387;7531
2004;8;2204;169;RS;4308607;23840;30200
2004;4;2204;275;ES;3205309;38;398
2004;1;2204;586;PR;4108809;5814;2628
2004;7;2204;586;MS;5206606;27288;11465
2004;10;2204;791;RS;4302105;7078;44087
2004;10;2204;586;PR;4108809;7889;3115
2004;4;2204;40;RJ;3304557;14702;32195
2004;10;2204;399;SP;3450308;25760;12116
2004;3;2204;23;RS;4302105;108;829
2004;11;2204;158;SP;3419071;3;60
2004;10;2204;586;MS;5206606;60844;23855
2004;11;2204;586;MS;5206606;88949;41663
2004;9;2204;586;MS;5206606;10580;4145
2004;9;2204;160;RJ;3304557;404;1118
2004;8;2204;399;RS;4308607;21028;28112
2004;7;2204;97;RO;1100106;16910;9767
2004;2;2204;399;SP;3450308;25855;11569
2004;4;2204;169;RS;4308607;32000;44800
2004;2;2204;586;MS;5206606;40383;16079
2004;11;2204;445;RS;4302105;2894;11280
2004;3;2204;845;RS;4317103;576;341
2004;4;2204;586;PR;4108304;80573;29532
2004;3;2204;249;RS;4302105;270;1987
2004;12;2204;589;SP;3419071;4;70
2004;11;2204;845;RS;4315305;57;57
2004;1;2204;586;MS;5206606;10906;3208
2004;11;2204;750;RS;4302105;111;154
2004;6;2204;586;PR;4108809;7136;2584
2004;6;2204;767;RS;4314548;3375;12500
2004;8;2204;275;RS;4302105;504;1232
2004;2;2204;586;SP;3425904;1056;776
2004;9;2204;586;PR;4108304;72000;23500
2004;1;2204;249;RS;4302105;6300;15960
2004;10;2204;764;RS;4302105;4995;12880
2004;6;2204;97;RO;1100106;553;270
2004;5;2204;767;RS;4302105;480;1661
2004;11;2204;770;SP;3448500;1300;2078
2004;12;2204;586;PR;4108809;19972;8390
2004;2;2204;249;RS;4302105;9131;36739
2004;10;2204;845;RS;4315305;32;32
2004;12;2204;845;RS;4317103;270;167
2004;7;2204;249;RS;4302105;756;5564
2004;1;2204;97;RO;1100106;475;260
2004;5;2204;586;SP;3425904;422;265
2004;9;2204;249;RS;4308607;744;1440
2004;7;2204;845;RS;4317103;270;156
2004;7;2204;445;RS;4302105;1414;5524
2004;3;2204;586;PR;4108304;79184;27506
2004;3;2204;586;PR;4108809;9775;3896
2004;6;2204;586;MS;5206606;46109;22467
2004;1;2204;586;PR;4108304;18410;7329
2004;6;2204;586;PR;4108304;219600;69240
2004;11;2204;399;RS;4302105;42295;14803
2004;10;2204;586;PR;4108304;81888;31167
2004;10;2204;770;SP;3448500;10726;3345
2004;12;2204;586;MS;5206606;46916;22840
2004;9;2204;399;RS;4302105;12954;21797
2004;5;2204;40;RJ;3304557;4156;1517
2004;6;2204;845;RS;4317103;180;102
2004;12;2204;249;RJ;3304557;1709;11334
2004;9;2204;275;SP;3425904;10;2
2004;2;2204;767;RS;4302105;1450;4554
2004;3;2204;97;RO;1100106;598;358
2004;10;2204;40;RJ;3304557;18328;14786
2004;10;2204;158;RS;4314548;675;2265
2004;9;2204;249;BA;2907202;10516;18612
2004;7;2204;249;RS;4308607;1620;4200
2004;12;2204;23;BA;2907202;5670;7268
2004;7;2204;23;RS;4305108;382;1681
