CO_PAIS;CO_PAIS_ISON3;CO_PAIS_ISOA3;NO_PAIS;NO_PAIS_ING;NO_PAIS_ESP;CO_BLOCO;NO_BLOCO;NO_BLOCO_ING;NO_BLOCO_ESP
625;417;KGZ;Quirguistão;Kyrgyzstan;Kirguistán;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
628;826;GBR;Reino Unido;United Kingdom;Reino Unido;112;Europa;Europe;Europa
640;140;CAF;República Centro-Africana;Central African Republic;República Centroafricana;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
647;214;DOM;República Dominicana;Dominican Republic;República Dominicana;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
660;638;REU;Reunião;Reunion;Reunión;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
665;716;ZWE;Zimbábue;Zimbabwe;Zimbabwe;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
670;642;ROU;Romênia;Romania;Rumania;112;Europa;Europe;Europa
675;646;RWA;Ruanda;Rwanda;Ruanda;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
676;643;RUS;Rússia;Russia;Rusia;112;Europa;Europe;Europa
677;90;SLB;Salomão, Ilhas;Solomon Islands;Salomón, Islas;61;Oceania;Oceania;Oceania
678;659;KNA;Saint Kitts e Nevis;St. Kitts and Nevis;St. Kitts y Nevis;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
685;732;ESH;Saara Ocidental;Western Sahara;Sahara Occidental;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
687;222;SLV;El Salvador;El Salvador;El Salvador;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
690;882;WSM;Samoa;Samoa;Samoa;61;Oceania;Oceania;Oceania
691;16;ASM;Samoa Americana;Americana Samoa;Samoa Americana;61;Oceania;Oceania;Oceania
693;652;BLM;São Bartolomeu;Saint Barthelemy;San Bartolomé;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
695;659;KNA;São Cristóvão e Névis;Saint Christopher and Nevis;Saint Kitts y Nevis;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
697;674;SMR;San Marino;San Marino;San Marino;112;Europa;Europe;Europa
698;898;ZZZ;São Martinho, Ilha de (parte francesa);São Martinho, Ilha de (parte francesa);São Martinho, Ilha de (parte francesa);105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
699;534;SXM;Sint Maarten;Sint Maarten;Sint Maarten;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
700;666;SPM;São Pedro e Miquelon;Saint Pierre and Miquelon;Saint Pierre y Miquelon;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
705;670;VCT;São Vicente e Granadinas;Saint Vicent and the Granadines;San Vicente y las Granadinas;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
710;654;SHN;Santa Helena;Saint Helena;Santa Helena, Ascención y Tristán de Acuña;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
715;662;LCA;Santa Lúcia;Saint Lucia;Santa Lucia;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
720;678;STP;São Tomé e Príncipe;São Tome and Principe;Santo Tomé y Príncipe;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
728;686;SEN;Senegal;Senegal;Senegal;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
731;690;SYC;Seicheles;Seychelles;Seychelles;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
735;694;SLE;Serra Leoa;Sierra Leone;Sierra Leona;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
737;688;SRB;Sérvia;Serbia;Serbia;112;Europa;Europe;Europa
741;702;SGP;Singapura;Singapore;Singapur;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
744;760;SYR;Síria;Syria;Siria;41;Oriente Médio;Middle East;Oriente Medio
748;706;SOM;Somália;Somalia;Somalia;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
750;144;LKA;Sri Lanka;Sri Lanka;Sri Lanka;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
754;748;SWZ;Suazilândia;Swaziland;Swazilandia;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
756;710;ZAF;África do Sul;South Africa;Sudáfrica;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
759;736;SDN;Sudão;Sudan;Sudán;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
760;728;SSD;Sudão do Sul;South Sudan;Sudán del Sur;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
764;752;SWE;Suécia;Sweden;Suecia;112;Europa;Europe;Europa
767;756;CHE;Suíça;Switzerland;Suiza;112;Europa;Europe;Europa
770;740;SUR;Suriname;Suriname;Suriname;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
772;762;TJK;Tadjiquistão;Tajikistan;Tayikistán;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
776;764;THA;Tailândia;Thailand;Tailandia;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
780;834;TZA;Tanzânia;Tanzania;Tanzanía;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
781;898;ATF;Terras Austrais Francesas;French Southern Lands;Tierras Australes Francesas;112;Europa;Europe;Europa
782;86;IOT;Território Britânico do Oceano Índico;British Indian Ocean Territory;Territorio Británico del Océano Indico;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
783;262;DJI;Djibuti;Djibouti;Djibouti;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
788;148;TCD;Chade;Chad;Chad;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
790;200;CSK;Tchecoslováquia;Czechoslovakia;Checoslovaquia;112;Europa;Europe;Europa
791;203;CZE;Tcheca, República;Czech Republic;República Checa;112;Europa;Europe;Europa
795;626;TLS;Timor Leste;East Timor;Timor Leste;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
